userId,movieId,rating,timestamp
1,2,3.5,980730861
1,32,3.5,980731926
1,47,3.5,980732037
1,50,3.5,980730408
1,223,4,980730769
1,253,4,980731208
1,293,4,980731417
1,296,4,980731745
1,318,4,980731621
1,337,3.5,980731380
1,367,3.5,980731312
1,541,4,980732235
1,589,3.5,980731789
1,593,3.5,980730816
1,653,3,980730816
1,1036,4,980730464
1,1079,4,980731842
1,1089,3.5,980730794
1,1090,4,980732165
1,1097,4,980731312
1,1196,4.5,980731766
1,1198,4.5,980731712
1,1200,4,980731860
1,1215,4,980731662
1,1222,3.5,980731282
1,1240,4,980731208
1,1246,3.5,980730952
1,1258,4,980731712
1,1259,4,980731882
1,1266,4,980731565
1,1291,3.5,980730935
1,1358,4,980731860
1,1370,3,980732109
1,1374,4,980730383
1,1584,3.5,980731501
1,2174,4,980731078
1,2194,3.5,980731842
1,2291,4,980732146
1,2542,4,980730794
1,2628,4,980730952
1,2683,3.5,980731565
1,2692,3.5,980731943
1,2716,3.5,980731433
1,2762,4,980730964
1,2918,3.5,980730769
1,2959,4,980731565
1,3996,4,980731789
1,4011,4,980731312
1,4027,4,980731988
1,4226,3.5,980730834
1,4306,4,980731903
1,4878,3.5,980731621
1,4896,4,980732011
1,4993,5,980731565
1,5816,4,980731228
1,5952,5,980731943
1,6333,4,980730879
1,6539,4,980731078
1,7153,5,980731523
1,7438,4,980731621
1,8636,4.5,980730861
1,8961,4,980730982
3,1,4,1091931510
3,32,4,1091931476
3,50,5,1091930791
3,160,3,1091931453
3,173,2,1091931458
3,196,3,1091931076
3,223,5,1091930862
3,316,5,1091931391
3,318,5,1091930848
3,329,5,1091930810
3,337,3,1091930938
3,440,3,1091931441
3,442,3,1091930838
3,457,5,1091931752
3,480,5,1091930696
3,541,5,1091931766
3,589,4,1091931368
3,593,5,1091930858
3,780,3,1091931730
3,788,4,1091930961
3,1079,4,1091930976
3,1089,5,1091930724
3,1097,5,1091930933
3,1127,3,1091932766
3,1196,5,901234495
3,1197,5,901234813
3,1198,5,901234813
3,1199,4,901233027
3,1200,4,901233284
3,1210,5,901235150
3,1213,5,901233123
3,1215,4,901233123
3,1220,5,901235058
3,1222,5,901233230
3,1225,3,901234208
3,1240,5,901233671
3,1258,5,901234208
3,1259,5,901234208
3,1266,5,901233565
3,1270,5,901233565
3,1288,2,901233337
3,1307,4,901233230
3,1356,5,901234243
3,1374,5,901234764
3,1544,4,901234244
3,1584,4,901234322
3,1653,4,901234282
3,1676,5,901234282
3,1721,4,901234208
3,1917,4,901233123
3,2011,3,901233461
3,2012,3,901234891
3,2028,4,901233600
3,2054,4,901235150
3,2329,4,901234690
3,2571,5,1078690795
3,2628,5,1078688885
3,2710,5,1078688897
3,2791,5,1078690623
3,2797,4,1078690320
3,2916,4,1078690573
3,2918,5,1078688902
3,2985,5,1078690724
5,2,3,1078690833
5,11,5,1078690645
5,17,3,1078690824
5,62,5,1078690152
5,104,2,1078690846
5,110,4,1078689861
5,141,5,1078690158
5,150,5,1078690257
5,235,3,1078690230
5,316,4,1078690048
5,318,5,1078690943
5,350,4,1078690154
5,364,5,1078690963
5,367,3,1078690027
5,368,5,1230545117
5,370,4,1230545057
5,377,5,1230544620
5,380,5,1230545060
5,440,5,1230544549
5,454,5,1230550222
5,457,5,1230544521
5,480,4,1230550172
5,500,5,1230544799
5,508,5,1230550100
5,587,4,1230544570
5,588,5,1230682558
5,589,5,1230544490
5,590,5,1230544561
5,593,3,1230544240
